# Name,f,h0 95 (F),h0 95 (5v),h_sd,h_sd error,h0 95 / h_sd (F),h0 95 / h_sd (5v),epsilon (F),epsilon (5v),epsilon_sd,distances,distances errors
J0534+2200ag,59.24,5.76e-26,5.2e-26,1.43e-24,3.58e-25,0.04,0.036,3.0000000000000004e-05,2.7000000000000002e-05,0.00076,2.00,0.5
J0534+2200bg,59.24,8.83e-26,5.2e-26,1.43e-24,3.58e-25,0.062,0.036,4.7000000000000004e-05,2.7000000000000002e-05,0.00076,2.00,0.5
J0711-6830,364.23,2.6600000000000005e-26,2.29e-26,1.25e-26,4.88e-29,2.1,1.8,2e-08,1.7e-08,9.5e-09,0.11,0.041
J0835-4510,22.37,3.99e-25,3.6200000000000003e-25,3.41e-24,2.43e-25,0.12,0.11,0.00021,0.00019,0.0018000000000000002,0.28,0.02
J1101-6101,31.85,1.0300000000000001e-25,8.960000000000001e-26,4.25e-26,1.66e-28,2.4,2.1,0.00067,0.00059,0.00028000000000000003,7.00,2.7
J1105-6107,31.64,1.0800000000000002e-25,8.93e-26,1.7100000000000002e-25,6.670000000000001e-26,0.63,0.52,0.00024000000000000003,0.0002,0.00038,2.36,0.92
J1809-1917,24.17,2.69e-25,2.17e-25,1.37e-25,5.34e-26,2.0,1.6,0.0014000000000000002,0.0011,0.0007300000000000001,3.27,1.3
J1813-1749bg,44.70,9.84e-26,4.610000000000001e-26,2.1899999999999998e-25,3.7300000000000003e-26,0.45,0.21,0.00022,0.0001,0.00064,6.20,2.4
J1813-1749full,44.70,5.88e-26,4.610000000000001e-26,2.1899999999999998e-25,3.7300000000000003e-26,0.27,0.21,0.00013000000000000002,0.0001,0.00064,6.20,2.4
J1828-1101,27.75,1.6600000000000001e-25,1.4800000000000002e-25,7.67e-26,2.99e-28,2.2,1.9,0.00097,0.0008700000000000001,0.00045000000000000004,4.77,1.9
J1833-0827,23.45,2.7600000000000005e-25,2.29e-25,5.88e-26,2.29e-28,4.7,3.9,0.0021000000000000003,0.0018000000000000002,0.00046,4.50,1.8
J1838-0655,28.36,1.4800000000000002e-25,1.35e-25,1.02e-25,1.39e-26,1.4,1.3,0.0011,0.001,0.00079,6.60,0.9
J1856+0245,19.35,0.0,2.0500000000000002e-25,1.12e-25,4.37e-26,0.0,1.8,0.0,0.002,0.0011,6.32,2.46
J1913+1011,55.69,4.51e-26,3.4700000000000005e-26,5.360000000000001e-26,2.0899999999999998e-26,0.84,0.65,6.3e-05,4.9000000000000005e-05,7.500000000000001e-05,4.61,1.8
J1925+1720,26.43,1.85e-25,1.43e-25,5.93e-26,2.31e-28,3.1,2.4,0.0013000000000000002,0.0009800000000000002,0.00041000000000000005,5.06,2.0
J1928+1746,29.10,1.31e-25,1.05e-25,8.150000000000001e-26,3.1800000000000004e-28,1.6,1.3,0.00064,0.00051,0.00039000000000000005,4.34,1.7
J1935+2025,24.95,2.3300000000000003e-25,1.92e-25,1.53e-25,5.970000000000001e-28,1.5,1.3,0.0016,0.0013000000000000002,0.0011,4.60,1.8
J1952+3252,50.59,4.9699999999999997e-26,3.7300000000000003e-26,1.0300000000000001e-25,6.87e-26,0.48,0.36,5.5e-05,4.1e-05,0.00011,3.00,2.0
J2124-3358,405.59,2.94e-26,2.4e-26,3.74e-27,8.81e-28,7.9,6.4,6.900000000000001e-08,5.700000000000001e-08,9.5e-09,0.44,0.05
J2229+6114,38.71,6.950000000000001e-26,5.780000000000001e-26,3.3100000000000003e-25,2.21e-25,0.21,0.17,0.00013000000000000002,0.00011,0.00063,3.00,2.0
