# Name,alpha,delta,f [Hz],f width 5v,f width fstat,fdot,fdot width 5v,fdot width fstat,fddot,fddot width fstat,n templates 5v,n templates fstat
J0534+2200ag,05:34:31.9723370001870,22:00:52.0700396258403,59.241,0.24,0.24,-7.37e-10,2.3000000000000003e-12,2.9e-12,2.3599999999999998e-20,5.2e-23,4979629000.0,93623258908.0
J0534+2200bg,05:34:31.9723370001870,22:00:52.0700396258403,59.241,0.0,0.24,-7.37e-10,0.0,2.9e-12,2.3599999999999998e-20,5.2e-23,0.0,9837195390.0
J0711-6830,07:11:54.1803619,-68:30:47.37034,364.234,0.72,1.5,-9.889999999999999e-16,2.1000000000000002e-15,4e-18,0.0,0.0,43906560.0,451795235.0
J0835-4510,08:35:20.5187577,-45:10:34.28496,22.371,0.089,0.089,-3.13e-11,1.3e-13,1.2000000000000002e-13,5.04e-21,0.0,329020800.0,2815745063.0
J1101-6101,11:01:44.96,-61:01:39.6,31.846,0.13,0.13,-4.5299999999999995e-12,1.9e-14,1.8000000000000002e-14,0.0,0.0,70262766.0,615223077.0
J1105-6107,11:05:25.8057364,-61:07:54.43027,31.644,0.13,0.13,-7.970000000000001e-12,3.2e-14,3.2e-14,5.54e-21,3.5e-22,116386050.0,2659739614.0
J1809-1917,18:09:43.1320010,-19:17:38.20003,24.166,0.097,0.097,-7.44e-12,3.2e-14,3.0000000000000005e-14,3.7e-23,1.4e-24,88864140.0,1523335008.0
J1813-1749bg,18:13:35.112,-17:49:57.57,44.703,0.0,0.18,-1.29e-10,0.0,5.1e-13,0.0,0.0,0.0,920820888.0
J1813-1749full,18:13:35.112,-17:49:57.57,44.703,0.18,0.18,-1.29e-10,5.2e-13,5.1e-13,0.0,0.0,2663621172.0,22698279393.0
J1828-1101,18:28:18.8469551,-11:01:51.71791,27.754,0.11,0.11,-5.7e-12,2.3000000000000003e-14,2.3000000000000003e-14,4.23e-23,9.4e-23,74813486.0,11612706090.0
J1833-0827,18:33:40.25698921,-08:27:31.52581686,23.449,0.094,0.094,-2.52e-12,1.1e-14,1.0000000000000002e-14,-4.63e-24,8.2e-25,28733850.0,2421614917.0
J1838-0655,18:38:03.130,-06:55:33.40,28.363,0.11,0.11,-1.99e-11,8.300000000000001e-14,8.000000000000001e-14,6.71e-22,7.8e-23,271262706.0,5553816923.0
J1856+0245,18:56:50.9145268,+02:45:53.17181,24.714,0.099,0.0,-1.89e-11,7.9e-14,0.0,0.0,0.0,224219482.0,0.0
J1913+1011,19:13:20.3407580,+10:11:22.96584,55.694,0.22,0.22,-5.2500000000000004e-12,2.3000000000000003e-14,2.1000000000000002e-14,-3.21e-24,2.6e-23,150243324.0,19405498261.0
J1925+1720,19:25:27.0585476,+17:20:27.41710,26.434,0.11,0.11,-3.66e-12,1.5000000000000002e-14,1.5000000000000002e-14,3.93e-23,6.299999999999999e-23,45384010.0,4692348852.0
J1928+1746,19:28:42.5455069,+17:46:29.67257,29.097,0.12,0.12,-5.570000000000001e-12,2.3000000000000003e-14,2.2e-14,0.0,0.0,78449756.0,684066080.0
J1935+2025,19:35:41.9410056,+20:25:40.09991,24.955,0.092,0.1,-1.89e-11,7.9e-14,7.6e-14,9.5e-22,3.3999999999999995e-23,209931044.0,5813316397.0
J1952+3252,19:52:58.206,+32:52:40.51,50.587,0.2,0.2,-7.490000000000001e-12,3.2e-14,3.0000000000000005e-14,2.9199999999999997e-23,1.2e-25,186098730.0,39086149829.0
J2124-3358,21:24:43.8447043,-33:58:45.05675,405.588,0.91,1.6,-1.6899999999999999e-15,2.1000000000000002e-15,6.8e-18,0.0,0.0,55945440.0,488069840.0
J2229+6114,22:29:06.5718594,+61:14:10.90094,38.709,0.15,0.16,-5.9e-11,2.4000000000000004e-13,2.6e-13,1.17e-20,0.0,1072941780.0,10206808090.0
