# Name,f,h0 95 (F),h0 95 (5v),h_sd,h0 95 / h_sd (F),h0 95 / h_sd (5v),epsilon (F),epsilon (5v),epsilon_sd,distances,distances errors
J0534+2200ag,59.24097913174615,5.76e-26,5.2e-26,1.43e-24,0.04,0.036000000000000004,3.0000000000000004e-05,2.7000000000000002e-05,0.00076,2.0,0.5
J0534+2200bg,59.24097913174615,8.83e-26,0.0,1.43e-24,0.062000000000000006,0.0,4.7000000000000004e-05,0.0,0.00076,2.0,0.5
J0711-6830,364.234468989082,2.6600000000000005e-26,2.29e-26,1.25e-26,2.1,1.7999999999999998,2e-08,1.7e-08,9.5e-09,0.106,0.041
J0835-4510,22.370690305439663,3.99e-25,3.6200000000000003e-25,3.41e-24,0.12000000000000002,0.11000000000000001,0.00021,0.00019,0.0018000000000000002,0.28,0.02
J1101-6101,31.84631412236508,1.0300000000000001e-25,8.960000000000001e-26,4.25e-26,2.4000000000000004,2.1,0.00067,0.00059,0.00028000000000000003,7.0,2.7
J1105-6107,31.64387251339285,1.0800000000000002e-25,8.93e-26,1.7100000000000002e-25,0.6300000000000001,0.5200000000000001,0.00024000000000000003,0.0002,0.00038,2.36,0.92
J1809-1917,24.165580735961004,2.69e-25,2.17e-25,1.37e-25,1.9999999999999998,1.5999999999999999,0.0014000000000000002,0.0011,0.0007300000000000001,3.27,1.3
J1813-1749bg,44.703356683384285,9.84e-26,0.0,2.1899999999999998e-25,0.45000000000000007,0.0,0.00022,0.0,0.00064,6.2,2.4
J1813-1749full,44.703356683384285,5.88e-26,4.610000000000001e-26,2.1899999999999998e-25,0.27,0.21000000000000005,0.00013000000000000002,0.0001,0.00064,6.2,2.4
J1828-1101,27.754402903398912,1.6600000000000001e-25,1.4800000000000002e-25,7.67e-26,2.2,1.9,0.00097,0.0008700000000000001,0.00045000000000000004,4.77,1.9
J1833-0827,23.449224506045045,2.7600000000000005e-25,2.29e-25,5.88e-26,4.7,3.9,0.0021000000000000003,0.0018000000000000002,0.00046,4.5,1.8
J1838-0655,28.36262239067893,1.4800000000000002e-25,1.35e-25,1.02e-25,1.4000000000000001,1.3,0.0011,0.001,0.00079,6.6,0.9
J1856+0245,19.354262383034648,0.0,2.0500000000000002e-25,1.12e-25,0.0,1.8e-26,0.0,0.002,0.0011,6.32,2.46
J1913+1011,55.6938306483591,4.51e-26,3.4700000000000005e-26,5.360000000000001e-26,0.8400000000000002,0.6500000000000001,6.3e-05,4.9000000000000005e-05,7.500000000000001e-05,4.61,1.8
J1925+1720,26.433807952461404,1.85e-25,1.43e-25,5.93e-26,3.1,2.4000000000000004,0.0013000000000000002,0.0009800000000000002,0.00041000000000000005,5.06,2.0
J1928+1746,29.097368164114368,1.31e-25,1.05e-25,8.150000000000001e-26,1.5999999999999999,1.3,0.00064,0.00051,0.00039000000000000005,4.34,1.7
J1935+2025,24.954901575595443,2.3300000000000003e-25,1.92e-25,1.53e-25,1.5,1.3,0.0016,0.0013000000000000002,0.0011,4.6,1.8
J1952+3252,50.587326601965316,4.9699999999999997e-26,3.7300000000000003e-26,1.0300000000000001e-25,0.4800000000000001,0.36000000000000004,5.5e-05,4.1e-05,0.00011,3.0,2.0
J2124-3358,405.587786969621,2.94e-26,2.4e-26,3.74e-27,7.8999999999999995,6.3999999999999995,6.900000000000001e-08,5.700000000000001e-08,9.5e-09,0.44,0.05
J2229+6114,38.708524766069296,6.950000000000001e-26,5.780000000000001e-26,3.3100000000000003e-25,0.21000000000000005,0.17,0.00013000000000000002,0.00011,0.00063,3.0,2.0

